Index,Quantity,Part Number,Description,Customer Reference,Available Quantity,Backorder Quantity,Unit Price JPY,Extended Price JPY
1,10,BC1001CT-ND,CAP CER 10PF 50V C0G/NP0 RADIAL,,10,0,16.9,169
2,10,399-4274-ND,CAP CER 0.015UF 50V X7R RADIAL,,10,0,26.1,261
3,10,399-9858-1-ND,CAP CER 10000PF 50V X7R RADIAL,,10,0,20.9,209
4,10,399-4316-ND,CAP CER 0.068UF 50V X7R RADIAL,,10,0,32,320
5,20,BC1160CT-ND,CAP CER 0.1UF 50V Y5V RADIAL,,20,0,14.8,296
6,3,493-15407-ND,CAP ALUM 1UF 10% 100V RADIAL,,3,0,37,111
7,3,UKL1H100KDDANA-ND,CAP ALUM 10UF 10% 50V RADIAL,,3,0,58,174
8,4,A98333-ND,TERM BLOCK 2POS SIDE ENT 2.54MM,,4,0,105,420
9,6,A98334-ND,TERM BLOCK 3POS SIDE ENT 2.54MM,,6,0,234,1404
10,10,CF14JT9K10CT-ND,RES 9.1K OHM 1/4W 5% AXIAL,,10,0,4.7,47
11,10,CF14JT100KCT-ND,RES 100K OHM 1/4W 5% AXIAL,,10,0,4.7,47
12,10,CF14JT10K0CT-ND,RES 10K OHM 1/4W 5% AXIAL,,10,0,4.7,47
13,10,CF14JT1K00CT-ND,RES 1K OHM 1/4W 5% AXIAL,,10,0,4.7,47
14,10,CF14JT13K0CT-ND,RES 13K OHM 1/4W 5% AXIAL,,10,0,4.7,47
15,10,CF14JT15K0CT-ND,RES 15K OHM 1/4W 5% AXIAL,,10,0,4.7,47
16,10,CF14JT1M00CT-ND,RES 1M OHM 1/4W 5% AXIAL,,10,0,4.7,47
17,10,CF14JT22K0CT-ND,RES 22K OHM 1/4W 5% AXIAL,,10,0,4.7,47
18,10,CF14JT5K10CT-ND,RES 5.1K OHM 1/4W 5% AXIAL,,10,0,4.7,47
19,10,CF14JT51K0CT-ND,RES 51K OHM 1/4W 5% AXIAL,,10,0,4.7,47
20,10,CF14JT6K20CT-ND,RES 6.2K OHM 1/4W 5% AXIAL,,10,0,4.7,47
21,10,1N4148FS-ND,DIODE GEN PURP 100V 200MA DO35,,10,0,7.3,73
22,2,3296W-501LF-ND,TRIMMER 500 OHM 0.5W PC PIN,,2,0,281,562
23,2,360-3257-ND,SWITCH PUSH DPDT 0.4VA 28V,,2,0,616,1232
24,6,J113FS-ND,JFET N-CH 35V 625MW TO92,,0,6,64,384
25,2,LM336Z-2.5NS/NOPB-ND,IC VREF SHUNT 2.49V TO92-3,,2,0,92,184
26,2,LMC662CN/NOPB-ND,IC OPAMP GP 1.4MHZ RRO 8DIP,,2,0,202,404
27,2,296-1775-5-ND,IC OPAMP JFET 3MHZ 8DIP,,2,0,94,188
28,1,296-7197-5-ND,IC OPAMP JFET 3MHZ 14DIP,,0,1,123,123
29,6,AE9986-ND,CONN IC DIP SOCKET 8POS TIN,,6,0,21,126
30,3,AE9989-ND,CONN IC DIP SOCKET 14POS TIN,,3,0,26,78
31,5,RNF14FTD4K53CT-ND,RES 4.53K OHM 1/4W 1% AXIAL,,5,0,12,60
